# === FILE: accountChangePassword-translated.csv ===

key,en,fr,selector,type,attr
# Heading
accountChangePassword.title,Change Password,Modifier le mot de passe,#MainCopy_ctl29_UpdatePanel1 h2,text,

# Current password
accountChangePassword.current.label,Current Password,Mot de passe actuel,label[for="MainCopy_ctl29_tbCurrentPassword"],text,
accountChangePassword.current.required,Enter current password,Entrez le mot de passe actuel,#MainCopy_ctl29_RequiredFieldValidator3,text,

# New password
accountChangePassword.new.label,New Password,Nouveau mot de passe,label[for="MainCopy_ctl29_tbNewPassword"],text,
accountChangePassword.new.required,Enter new password,Entrez un nouveau mot de passe,#MainCopy_ctl29_RequiredFieldValidator1,text,

# Policy feedback (static labels shown beside the glyphs)
accountChangePassword.policy.length,8 - 30 Characters,8 à 30 caractères,#MainCopy_ctl29_lblPassLength,text,
accountChangePassword.policy.upper,1 Capital Letter(s),1 lettre majuscule,#MainCopy_ctl29_lblCapitalLetters,text,
accountChangePassword.policy.number,1 Number(s) (0-9),1 chiffre (0–9),#MainCopy_ctl29_lblNumbers,text,
accountChangePassword.policy.special,1 Special Character(s),1 caractère spécial,#MainCopy_ctl29_lblSpecialCharacters,text,

# Confirm new password
accountChangePassword.confirm.label,Confirm New Password,Confirmez le nouveau mot de passe,label[for="MainCopy_ctl29_tbConfirmPassword"],text,
accountChangePassword.confirm.feedback,Passwords Match,Les mots de passe correspondent,#MainCopy_ctl29_lblConfirmFeedback,text,

# Buttons
accountChangePassword.save,Save,Enregistrer,#MainCopy_ctl29_Btn_Save,attr,value
accountChangePassword.cancel,Cancel,Annuler,#MainCopy_ctl29_CancelTop,attr,value

# === FILE: accountInbox-translated.csv ===

inbox.nav.inbox,Inbox,Boîte de réception,ul.nav.nav-pills li:nth-child(1) a:last-of-type,text,
inbox.nav.sent,Sent Items,Éléments envoyés,ul.nav.nav-pills li:nth-child(2) a:last-of-type,text,
inbox.nav.requests,Contact Requests,Demandes de contact,ul.nav.nav-pills li:nth-child(3) a:last-of-type,text,
inbox.nav.invites,Community Invitations,Invitations de la communauté,ul.nav.nav-pills li:nth-child(4) a:last-of-type,text,

inbox.search.label,Search,Recherche,#MainCopy_ctl29_ucInboxTab_ucSimpleSearchMessage_lblSearchText,text,
inbox.search.placeholder,Search,Rechercher,#MainCopy_ctl29_ucInboxTab_ucSimpleSearchMessage_txtsearch,attr,placeholder
inbox.search.iconAria,Search,Rechercher,#MainCopy_ctl29_ucInboxTab_ucSimpleSearchMessage_btnSearch .glyphicon-search,attr,aria-label

inbox.compose.button,Compose,Nouveau message,#btnCompose,text,
inbox.compose.buttonAria,Compose,Nouveau message,#btnCompose,attr,aria-label

inbox.empty,No Messages,Aucun message,.bg-warning,text,

inbox.bulk.toggleSelectAll,Select All,Sélectionner tout,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_ToggleSelectAll,attr,title

inbox.invites.empty,You have no pending community Request(s),Vous n’avez aucune demande de communauté en attente,#MainCopy_ctl29_ucInboxTab_ucInvitation_lblNoCommunities,text,
inbox.requests.heading,Contact Requests,Demandes de contact,#MainCopy_ctl29_ucInboxTab_ucFriendRequests_lblMainHead,text,
inbox.requests.empty,You have no pending contact requests,Vous n’avez aucune demande de contact en attente,#MainCopy_ctl29_ucInboxTab_ucFriendRequests_lblNofriends,text,

inbox.bulk.toggleSelectAll.aria,select all emails,sélectionner tous les courriels,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_ToggleSelectAll,attr,aria-label
inbox.bulk.toggleSelectAll.title,Select All,Sélectionner tout,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_ToggleSelectAll,attr,title
inbox.bulk.allLabel,All,Tout,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_pnlOptions .chk-all .btn-group,text,

inbox.actions.markRead,Mark as Read,Marquer comme lu,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_MarkRead,text,
inbox.actions.toggleDropdown.sronly,Toggle Dropdown,Basculer le menu,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_pnlOptions .dropdown-toggle .sr-only,text,
inbox.actions.markUnread,Mark as Unread,Marquer comme non lu,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_MarkUnread,text,
inbox.actions.deleteSelected,Delete Selected Messages,Supprimer les messages sélectionnés,#MainCopy_ctl29_ucInboxTab_ucDisplayInbox_DeleteSelected,text,

# === FILE: accountSettingsEmail-translated.csv ===

emailPreferences.heading,Email Preferences,Préférences de courriel,#MainCopy_ctl29_EmailUpdatePanel h2,text,
