key,en,fr,selector,type,attr
emailPreferences.heading,Email Preferences,Préférences de courriel,#MainCopy_ctl29_EmailUpdatePanel h2,text,
# emailPreferences.intro,"In addition to <a href=""/preferences"">community notifications</a>, other messages are routinely sent to users. These messages -System, Community, Participation, and Promotional - will always be sent to your <a href=""/inbox"">profile inbox</a>. By default, they are also emailed to your preferred email address. Select “no” below to opt-out of receiving certain emails per your preferences. You will always receive these messages in your profile inbox regardless of these settings.","En plus des <a href=""/preferences"">notifications de la communauté</a>, d’autres messages sont régulièrement envoyés aux utilisateurs. Ces messages — Système, Communauté, Participation et Promotion — seront toujours envoyés à votre <a href=""/inbox"">boîte de réception de profil</a>. Par défaut, ils sont également envoyés à votre adresse courriel préférée. Sélectionnez « non » ci-dessous pour vous désabonner de certains courriels selon vos préférences. Vous recevrez toujours ces messages dans votre boîte de réception de profil, quels que soient ces paramètres.",#MainCopy_ctl29_EmailUpdatePanel p:first-of-type,attr,innerHTML
# emailPreferences.intro,"In addition to  <a href=""/preferences"">community notifications</a>, other messages are routinely sent to users. These messages -System, Community, Participation, and Promotional - will always be sent to your <a href=""/inbox"">profile inbox</a>. By default, they are also emailed to your preferred email address. Select ""no"" below to opt-out of receiving certain emails per your preferences. You will always receive these messages in your profile inbox regardless of these settings.","En plus des <a href=""/preferences"">notifications de la communauté</a>, d’autres messages sont régulièrement envoyés aux utilisateurs. Ces messages — Système, Communauté, Participation et Promotion — seront toujours envoyés à votre <a href=""/inbox"">boîte de réception de profil</a>. Par défaut, ils sont également envoyés à votre adresse courriel préférée. Sélectionnez « non » ci-dessous pour vous désabonner de certains courriels selon vos préférences. Vous recevrez toujours ces messages dans votre boîte de réception de profil, quels que soient ces paramètres.",#MainCopy_ctl29_EmailUpdatePanel p:first-of-type,attr,innerHTML
emailPreferences.intro,"In addition to  <a href=""/preferences"">community notifications</a>, other messages are routinely sent to users. These messages -System, Community, Participation, and Promotional - will always be sent to your <a href=""/inbox"">profile inbox</a>. By default, they are also emailed to your preferred email address. Select ""no"" below to opt-out of receiving certain emails per your preferences. You will always receive these messages in your profile inbox regardless of these settings.","En plus des <a href=""/preferences"">notifications de la communauté</a>, d’autres messages sont régulièrement envoyés aux utilisateurs. Ces messages — Système, Communauté, Participation et Promotion — seront toujours envoyés à votre <a href=""/inbox"">boîte de réception de profil</a>. Par défaut, ils sont également envoyés à votre adresse courriel préférée. Sélectionnez « non » ci-dessous pour vous désabonner de certains courriels selon vos préférences. Vous recevrez toujours ces messages dans votre boîte de réception de profil, quels que soient ces paramètres.",#MainCopy_ctl29_EmailUpdatePanel p:first-of-type,html,

emailPreferences.primaryAddressNotice,Email notifications and communications will be delivered to the email address below.,Les notifications et communications par courriel seront envoyées à l’adresse indiquée ci-dessous.,#MainCopy_ctl29_pnlLinkToEditEmail p:first-of-type,text,
emailPreferences.change,Change,Changer,#MainCopy_ctl29_hlChangeEmail,text,
emailPreferences.system.heading,System Emails,Courriels système,#MainCopy_ctl29_pnlLinkToEditEmail ~ .row-border-bottom:nth-of-type(1) h3,text,
emailPreferences.system.desc,Emails required to confirm user participation. Users cannot opt-out of these emails.,Courriels nécessaires pour confirmer la participation de l’utilisateur. Les utilisateurs ne peuvent pas se désabonner de ces courriels.,#MainCopy_ctl29_pSystemEmailDescription,text,
emailPreferences.community.heading,Community Emails,Courriels de la communauté,.row-border-bottom:nth-of-type(2) h3,text,
# emailPreferences.community.desc,Emails typically sent from Community Admins or the Community Manager via automation rules (ex: moderation notifications, Component Manager emails). Some automation rules-based emails may be in other categories. By default, you receive Community emails from all your Communities unless you explicitly opt-out.,Courriels généralement envoyés par les administrateurs de la communauté ou le gestionnaire de communauté au moyen de règles d’automatisation (p. ex. notifications de modération, courriels du gestionnaire de composant). Certains courriels automatisés peuvent se trouver dans d’autres catégories. Par défaut, vous recevez les courriels de toutes vos communautés sauf si vous vous désabonnez explicitement.,#MainCopy_ctl29_cbCommunityEmails ~ p:first-of-type,text,
emailPreferences.community.desc,"Emails typically sent from Community Admins or the Community Manager via automation rules (ex: moderation notifications, Component Manager emails). Some automation rules-based emails may be in other categories. By default, you receive Community emails from all your Communities unless you explicitly opt-out.","Courriels généralement envoyés par les administrateurs de la communauté ou le gestionnaire de communauté au moyen de règles d’automatisation (p. ex. notifications de modération, courriels du gestionnaire de composant). Certains courriels automatisés peuvent se trouver dans d’autres catégories. Par défaut, vous recevez les courriels de toutes vos communautés sauf si vous vous désabonnez explicitement.",#MainCopy_ctl29_cbCommunityEmails ~ p:first-of-type,text,
